T_K,rho_kg_m3,cp_J_kgK,mu_Pa_s,k_W_mK,Pr
280,1000.0,4198,1.422e-3,0.582,10.26
300,997.0,4179,8.55e-4,0.613,5.83
325,987.2,4182,5.28e-4,0.645,3.42
350,973.7,4195,3.65e-4,0.668,2.29
375,956.9,4220,2.74e-4,0.681,1.70
400,937.2,4256,2.17e-4,0.688,1.34
450,890.5,4400,1.52e-4,0.678,0.99
